ID,VIOLATION LAST MODIFIED DATE,VIOLATION DATE,VIOLATION CODE,VIOLATION STATUS,VIOLATION STATUS DATE,VIOLATION DESCRIPTION,VIOLATION LOCATION,VIOLATION INSPECTOR COMMENTS,VIOLATION ORDINANCE,INSPECTOR ID,INSPECTION NUMBER,INSPECTION STATUS,INSPECTION WAIVED,INSPECTION CATEGORY,DEPARTMENT BUREAU,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,PROPERTY GROUP,SSA,LATITUDE,LONGITUDE,LOCATION,YEAR,MONTH,DAY
6730526,06/13/2022,01/12/2022,CN136026,COMPLIED,05/05/2022,INSECTS,OTHER   :    :OTHER BL00876,"BED BUG INFESTATION THROUGHOUT. - PROPERTY MUST BE EFFECTIVELY TREATED TO EXTERMINATE BEDBUGS THROUGHOUT BUILDING, BY EMPLOYING AN EXPERIENCED EXTERMINATOR IN ABATEMENT OF BED BUG INFESTATION. BUILDING DEPARTMENT WILL NOT CONSIDER THIS VIOLATION COMPLIED WITHOUT PROOF OF SAID EXTERMINATIONS.",Exterminate insects and keep dwelling insect-free. (13-196-630 C),282126,13643953,FAILED,N,COMPLAINT,CONSERVATION,5611 N LINCOLN AVE,5611,N,LINCOLN,AVE,12595,,41.983469226,-87.695448755,"(41.98346922607376, -87.69544875484024)",2022,01,12
6730527,06/13/2022,01/12/2022,CN101015,COMPLIED,05/05/2022,REPAIR INTERIOR WALLS/CEILING,OTHER   :    :OTHER BL00876,"ROOM 21 - WATER DAMAGED WALLS THROUGHOUT, WITH BUBBLING PLASTER; SHOWER CEILING HAS 6 INCH HOLE.",Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c)),282126,13643953,FAILED,N,COMPLAINT,CONSERVATION,5611 N LINCOLN AVE,5611,N,LINCOLN,AVE,12595,,41.983469226,-87.695448755,"(41.98346922607376, -87.69544875484024)",2022,01,12
6730530,06/13/2022,01/12/2022,CN101015,COMPLIED,06/13/2022,REPAIR INTERIOR WALLS/CEILING,OTHER   :    :OTHER,"ROOM 21 - WATER DAMAGED WALLS THROUGHOUT, WITH BUBBLING PLASTER; SHOWER CEILING HAS 6 INCH HOLE.",Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c)),BL00876,13643954,CLOSED,N,COMPLAINT,CONSERVATION,5611 N LINCOLN AVE,5611,N,LINCOLN,AVE,12595,,41.983469226,-87.695448755,"(41.98346922607376, -87.69544875484024)",2022,01,12
6727174,05/17/2023,01/04/2022,CN138106,COMPLIED,05/17/2023,STOP/REMOVE NUISANCE,OTHER   :    :OTHER,WEST  ELEVATION / NUISANCE - RED CAR WITH 4 MISSING TIRES FOR ALONG TIME .FRONT AND REAR OF BUILDING STRONG SMELL OF CAT WASTE.,Remove and stop nuisance. (7-28-060),BL00876,13640874,CLOSED,N,COMPLAINT,CONSERVATION,5706 S HONORE ST,5706,S,HONORE,ST,349058,,41.790054041,-87.670694489,"(41.790054041440115, -87.67069448881023)",2022,01,04
6731063,09/08/2022,01/12/2022,PL151137,COMPLIED,09/08/2022,OPEN,,CONDENSATION LINE FROM BASEMENT FURNACE IS DIRECTLY CONNECTED TO THE SANITARY STACK,,381406,13644430,PASSED,N,PERMIT,PLUMBING,6625 N LAKEWOOD AVE,6625,N,LAKEWOOD,AVE,229221,54.0,42.003180935,-87.663417171,"(42.00318093464726, -87.66341717098818)",2022,01,12
6729264,06/14/2022,01/10/2022,CN063014,COMPLIED,06/08/2022,CHIMNEY,OTHER   :    :OTHER BL00876,"WEST ELEVATION /CHIMNEY - LOOSE AND FRACTURED BRICKS, WITH SOME MISSING. PERMIT ONLY FOR REPAIRS.","Failed to maintain chimney in safe and sound working condition.  (13-196-590, 13-196-530(b) and (c), 13-196-641)",282126,13642844,FAILED,N,COMPLAINT,CONSERVATION,5539 W NEWPORT AVE,5539,W,NEWPORT,AVE,137257,,41.94304003,-87.76577353,"(41.94304003048264, -87.76577353012743)",2022,01,10
6729265,06/14/2022,01/10/2022,CN063024,COMPLIED,06/08/2022,CHIMNEY CAPPING,OTHER   :    :OTHER BL00876,CHIMNEY - MISSING CHIMNEY CAPPING.,"Cap masonry chimney with non-combustible, water proof materials. (13-152-250 B, 13-152-240, 13-196-590)",282126,13642844,FAILED,N,COMPLAINT,CONSERVATION,5539 W NEWPORT AVE,5539,W,NEWPORT,AVE,137257,,41.94304003,-87.76577353,"(41.94304003048264, -87.76577353012743)",2022,01,10
6729266,06/14/2022,01/10/2022,CN065034,COMPLIED,06/08/2022,REPAIR WINDOW SILLS,OTHER   :    :OTHER BL00876,FRONT ELEVATION /WINDOW SILLS - WASHED OUT MORTAR JOINTS.,"Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)",282126,13642844,FAILED,N,COMPLAINT,CONSERVATION,5539 W NEWPORT AVE,5539,W,NEWPORT,AVE,137257,,41.94304003,-87.76577353,"(41.94304003048264, -87.76577353012743)",2022,01,10
6729269,06/14/2022,01/10/2022,CN063024,COMPLIED,06/14/2022,CHIMNEY CAPPING,OTHER   :    :OTHER,CHIMNEY - MISSING CHIMNEY CAPPING.,"Cap masonry chimney with non-combustible, water proof materials. (13-152-250 B, 13-152-240, 13-196-590)",BL00876,13642845,CLOSED,N,COMPLAINT,CONSERVATION,5539 W NEWPORT AVE,5539,W,NEWPORT,AVE,137257,,41.94304003,-87.76577353,"(41.94304003048264, -87.76577353012743)",2022,01,10
6729270,06/14/2022,01/10/2022,CN065034,COMPLIED,06/14/2022,REPAIR WINDOW SILLS,OTHER   :    :OTHER,FRONT ELEVATION /WINDOW SILLS - WASHED OUT MORTAR JOINTS.,"Failed to maintain window sill in good repair and free from cracks and defects.  (13-196-530(e), 13-196-550, 13-196-641)",BL00876,13642845,CLOSED,N,COMPLAINT,CONSERVATION,5539 W NEWPORT AVE,5539,W,NEWPORT,AVE,137257,,41.94304003,-87.76577353,"(41.94304003048264, -87.76577353012743)",2022,01,10
6729268,06/14/2022,01/10/2022,CN063014,COMPLIED,06/14/2022,CHIMNEY,OTHER   :    :OTHER,"WEST ELEVATION /CHIMNEY - LOOSE AND FRACTURED BRICKS, WITH SOME MISSING. PERMIT ONLY FOR REPAIRS.","Failed to maintain chimney in safe and sound working condition.  (13-196-590, 13-196-530(b) and (c), 13-196-641)",BL00876,13642845,CLOSED,N,COMPLAINT,CONSERVATION,5539 W NEWPORT AVE,5539,W,NEWPORT,AVE,137257,,41.94304003,-87.76577353,"(41.94304003048264, -87.76577353012743)",2022,01,10
6730446,10/04/2022,01/11/2022,NC2011,COMPLIED,10/03/2022,PLANS & PERMITS REQ - CONTRCTR,PERMIT 100964257 ISSUED 8/31/22 HAS BEEN OBTAINED.,INTERIOR INSPECTION REQUIRED TO DETERMINE COMPLETE SCOPE OF WORK FOR NEW PERMIT APPLICATION.,"Performed or allowed work to be performed without submitting plans prepared, signed and sealed by a licensed architect or registered structural engineer for approval and without obtaining a permit to perform the work.  (13-32-010, 13-32-040, 13-40-020, 13-12-050)",371443,13643858,CLOSED,N,COMPLAINT,NEW CONSTRUCTION,4936 W ROSCOE ST,4936,W,ROSCOE,ST,136322,,41.942534398,-87.750939996,"(41.94253439849632, -87.75093999562232)",2022,01,11
6732325,09/21/2022,01/11/2022,VT1030,COMPLIED,09/20/2022,ARRANGE PERMIT INSP.,1115 N CHRISTIANA AV,,"Arrange in writing for mechanical ventilating system inspection when adjusted and tested. (13-12-100, 13-176-310)",62127,13684347,PASSED,N,PERMIT,VENTILATION,1115 N CHRISTIANA AVE,1115,N,CHRISTIANA,AVE,51247,,41.901507613,-87.710433398,"(41.901507612598834, -87.71043339750256)",2022,01,11
6735146,03/11/2022,01/09/2022,CN046013,COMPLIED,03/11/2022,UNAPPROVED HEATING DEVICE,,STOVE HEAT/SPACE HEATER.,Stop using cooking or water heating device as heating device. (13-196-400),112463,13647249,PASSED,N,COMPLAINT,CONSERVATION,11154 S VERNON AVE,11154,S,VERNON,AVE,21765,,41.691177472,-87.61225907,"(41.691177471896076, -87.61225906980805)",2022,01,09
6727334,01/04/2022,01/04/2022,PL151137,OPEN,,OPEN,,,,290668,13586990,FAILED,N,PERMIT,PLUMBING,6745 S CAMPBELL AVE,6745,S,CAMPBELL,AVE,400614,14.0,41.770689091,-87.685699986,"(41.77068909096362, -87.68569998583654)",2022,01,04
6730399,01/12/2022,01/11/2022,PLD2290,OPEN,,PROVIDE AUTOMATIC MIXING DEVIC,,,Provide automatic mixing device for public lavatories. (18-29-18-29-607.1),291575,13643757,PASSED,N,PERMIT,PLUMBING,5301 W LAKE ST,5301,W,LAKE,ST,1596,,41.887221537,-87.757826346,"(41.887221537144235, -87.75782634562349)",2022,01,11
6732457,06/21/2022,01/14/2022,VT1010,COMPLIED,06/13/2022,ARRANGE COMPLETED PERMIT INSP.,,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",BL00577,13645223,PASSED,N,PERMIT,VENTILATION,2421 N CLYBOURN AVE,2421,N,CLYBOURN,AVE,100398,,41.925746649,-87.669946629,"(41.925746649216364, -87.66994662873199)",2022,01,14
6732267,04/18/2022,01/10/2022,VT1030,COMPLIED,04/18/2022,ARRANGE PERMIT INSP.,7641 S RHODES AV,"TOILET EXHAUST DRYER VENTS NOT INSTALL WINDOWS NOT INSTALLED, PROVIDE R8 INSULATION ON OVAL DUCTS IN WALLS CHIMNEY LINER INSTALLED OK TO INSULATE ONLY","Arrange in writing for mechanical ventilating system inspection when adjusted and tested. (13-12-100, 13-176-310)",62127,13744036,PASSED,N,PERMIT,VENTILATION,7641 S RHODES AVE,7641,S,RHODES,AVE,417413,,41.755428791,-87.611248724,"(41.75542879131669, -87.6112487235636)",2022,01,10
6739248,01/13/2022,01/13/2022,CN061014,OPEN,,REPAIR EXTERIOR WALL,EXTERIOR:W   :EXTERIOR,"WEST ELEVATION, 7TH AND 8TH FLOORS AT SOUTHWEST CORNER OF BUILDING - OPEN MORTAR JOINTS WITH, CRACKED MISSING SECTIONS OF STONE.  DANGEROUS AND HAZARDOUS. WEST ELEVATION, 10TH FLOOR CRCED AND SPLALLED STONEWORK. WEST ELEVATION, 2ND FLOOR MAIN ENTRY -  MULTIPLE AREAS OPEN MORTAR JOINTS WITH SHIFTING STONEWORK. SOUTH AND EAST ELEVATIONS, MULTIPLE AREAS  - BRICK CORNERS STRAPPED WITH METAL - BRICK HAS MULTIPLE VERTICAL CRACKS.","Failed to maintain the exterior walls of a building or structure free from holes, breaks, loose or rotting boards or timbers and any other conditions which might admit rain or dampness to the walls.  (13-196-530(b), 13-196-641)",112463,13650403,FAILED,N,COMPLAINT,CONSERVATION,1431 N CLAREMONT AVE,1431,N,CLAREMONT,AVE,61076,,41.907627208,-87.685785759,"(41.907627207523525, -87.68578575863826)",2022,01,13
6732967,03/15/2022,01/13/2022,CN065014,COMPLIED,03/14/2022,REPAIR LINTELS,"NORTH, WEST ELEVATIONS",BASEMENT/LINTLES - LINTELS STILL WARPED AND RUSTING; (3) NORTH; (1) WEST,"Failed to maintain lintel in good repair and free from cracks and defects.  (13-196-530(e), 13-196-641)",371335,13645755,PASSED,N,PERMIT,NEW CONSTRUCTION,6501 S ROCKWELL ST,6501,S,ROCKWELL,ST,383634,,41.77543501,-87.68828117,"(41.77543500952776, -87.68828117021667)",2022,01,13
6739250,01/13/2022,01/13/2022,CN060001,OPEN,,SUBMIT 2 COPIES CRITICAL EXAM,"OTHER   :    :EXTERIOR,","SUBMIT CRITICAL EXAM REPORT FOR ENTIRE EXTERIOR OF BUILDING FOR THE EXISTING HIGH-RISE BY A REGISTERED DESIGN PROFESSIONAL.  THE EXAM IS A CLOSE-UP VISUAL EXAMINATION OF THE ENTIRE EXTERIOR ENVELOPE IS TO IDENTIFYING DEFICIENCIES AND DETERMINE IF REPAIR IS REQUIRED. EXTERIOR ENVELOPE TO INCLUDE BUT NOT LIMITED TO ROOF, EXTERIOR WALLS, WINDOWS, DOORS, BALCONIES, FIRE ESCAPES, CHIMNEYS, MECHANICAL EQUIPMENT, MARQUEES, CANOPIES, SIGNS, FLAG POLES AND EXTERIOR MAINTENANCE SYSTEMS. A SIGNED AND SEALED REPORT, DETAILING THE SCOPE AND FINDINGS OF THE EXAMINATION, TOGETHER WITH RECOMMENDATIONS FOR REPAIR WHERE DEFICIENCIES ARE FOUND, SHALL BE PROVIDED TO THE OWNER, AND FILED WITH THE BUILDING DEPARTMENT. IT IS THE OWNER'S RESPONSIBILITY TO OBTAIN REQUIRED PERMITS, ACCOMPANIED BY SUPPORTING DOCUMENTS AND CONSTRUCTION DOCUMENT PLANS. THE OWNER MUST KEEP A COPY OF THE MOST RECENT REPORT, PERMIT AND CONSTRUCTION DOCUMENTS ON FILE AT THE PREMISES AND MAKE AVAILABLE FOR INSPECTION REVIEW AND APPROVAL. SEE MAINTENANCE OF HIGH-RISE EXTERIOR WALLS AND ENCLOSURES RULES AND REGULATIONS.  SUBMIT TO DEPARTMENT OF BUILDINGS, ATTENTION: EXTERIOR WALL PROGRAM 3RD FLOOR, 2045 W. WASHINGTON BLVD.  60612  (14A-6-603.2 THROUGH 14A-6-603.2.6, 14A-4-401.1 AND 14A-4-411.1)","Failed to provide 2 copies of a Critical Examination Report, sealed and signed by an Illinois licensed architect or structural engineer.  (13-196-033, 13-196-034, 13-196-036)",112463,13650403,FAILED,N,COMPLAINT,CONSERVATION,1431 N CLAREMONT AVE,1431,N,CLAREMONT,AVE,61076,,41.907627208,-87.685785759,"(41.907627207523525, -87.68578575863826)",2022,01,13
6739251,01/13/2022,01/13/2022,CN060002,OPEN,,PROVIDE SIDEWALK SHED F/PROTCT,"OTHER   :    :EXTERIOR,","WEST ELEVATION, MAIN BUILDING ENTRY AND EMPLOYEE ENTRY. OWNER TO IMMEDIATELY TAKE TEMPORARY MEASURES TO PROTECT THE PUBLIC, PREVENT IMMINENT HARM TO PEOPLE AND TO BEGIN PERMANENT REPAIRS WHERE THE ENVELOPE AND EXTERIOR WALLS OF A HIGH-RISE BUILDING IS IN UNSAFE CONDITION OR IN NEED OF REPAIR OR REINFORCEMENT. A BUILDING PERMIT APPLICATION COVERING THE SCOPE OF THE EMERGENCY REPAIR MUST BE SUBMITTED TO THE DEPARTMENT OF BUILDINGS ON THE NEXT BUSINESS DAY. THE DEPARTMENT OF TRANSPORTATION MAY NOT ISSUE A PERMIT FOR USE OF THE PUBLIC WAY TO INSTALL SCAFFOLDING/CANOPY UNLESS A PERMIT FOR THE SCAFFOLDING/CANOPY HAS BEEN OBTAINED FROM THE BUILDING DEPARTMENT.   (14A-6-603.2.6, 14A-6-603.2, 14A-4-401.1.1, 14A-4-401.1.2, 14A-4-404.16 THROUGH 14A-4-404.16.5, 14A-4-404.22.3 AND 14B-33-3306)","Immediately provide sidewalk shed for protection of property and passersby from unsafe conditions, as follows: (Sections 13-12-130, 13-20-040, 13-196-037(a))",112463,13650403,FAILED,N,COMPLAINT,CONSERVATION,1431 N CLAREMONT AVE,1431,N,CLAREMONT,AVE,61076,,41.907627208,-87.685785759,"(41.907627207523525, -87.68578575863826)",2022,01,13
6760478,03/15/2022,01/07/2022,NC2061,OPEN,,WORK CONTRARY TO PERMIT,,REMOVED EXISTING HOUSE DOWN TO FIRST FLOOR JOISTS BUILDING 3 NEW STORIES OVER EXISTING FOUNDATION AND FIRST FLOOR JOISTS,"Stop and remove work contrary to permit. (13-32-120, 13-32-290)",BL00258,13744873,FAILED,N,COMPLAINT,NEW CONSTRUCTION,3924 S WELLS ST,3924,S,WELLS,ST,304207,,,,,2022,01,07
6760484,03/15/2022,01/07/2022,NC2011,OPEN,,PLANS & PERMITS REQ - CONTRCTR,,NEED REVISED DRAWINGS TO SHOW NEW CONSTRUCTION OF 3 STORY HOUSE OVER EXISTING FOUNDATION,"Performed or allowed work to be performed without submitting plans prepared, signed and sealed by a licensed architect or registered structural engineer for approval and without obtaining a permit to perform the work.  (13-32-010, 13-32-040, 13-40-020, 13-12-050)",BL00258,13744873,FAILED,N,COMPLAINT,NEW CONSTRUCTION,3924 S WELLS ST,3924,S,WELLS,ST,304207,,,,,2022,01,07
6760485,03/15/2022,01/07/2022,NC2022,OPEN,,BLANK-TEXT MUST CITE CODE SECT,,STOP WORK UNTIL NEW PERMIT IS OBTAINED SECTION 14A-4-411,Violation:,BL00258,13744873,FAILED,N,COMPLAINT,NEW CONSTRUCTION,3924 S WELLS ST,3924,S,WELLS,ST,304207,,,,,2022,01,07
6730428,01/12/2022,01/10/2022,EV1110,OPEN,,MAINTAIN OR REPAIR ELECT ELEVA,,#W23 FINISH MACHINE ROOM AND FLOORS,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",534569,13643815,FAILED,N,PERMIT,ELEVATOR,233 S WACKER DR,233,S,WACKER,DR,14848,,41.878560154,-87.636523872,"(41.87856015362371, -87.63652387205532)",2022,01,10
6732403,09/22/2022,01/11/2022,VT1030,COMPLIED,09/22/2022,ARRANGE PERMIT INSP.,1624 W PETERSON AV,,"Arrange in writing for mechanical ventilating system inspection when adjusted and tested. (13-12-100, 13-176-310)",BL00781,13861862,PASSED,N,PERMIT,VENTILATION,1624 W PETERSON AVE,1624,W,PETERSON,AVE,219651,,41.990890614,-87.671061853,"(41.990890614131665, -87.6710618534068)",2022,01,11
6727712,06/27/2022,01/03/2022,EV1111,COMPLIED,06/27/2022,MAINTAIN OR REPAIR HYDRO ELEVA,,REPAIR ELEVATOR TO SAFE WORKING ORDER ASAP.,"Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13641453,PASSED,N,PERIODIC,ELEVATOR,1513 N WELLS ST,1513,N,WELLS,ST,4337,48.0,41.909588688,-87.634513776,"(41.90958868756235, -87.63451377570092)",2022,01,03
6727713,06/27/2022,01/03/2022,EV1111,COMPLIED,06/27/2022,MAINTAIN OR REPAIR HYDRO ELEVA,,PERFORM ANNUAL CAT1 PRESURRE TEST AND LEAVE CITY DOCUMENTATION.,"Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13641453,PASSED,N,PERIODIC,ELEVATOR,1513 N WELLS ST,1513,N,WELLS,ST,4337,48.0,41.909588688,-87.634513776,"(41.90958868756235, -87.63451377570092)",2022,01,03
6727715,06/27/2022,01/03/2022,EV1111,COMPLIED,06/27/2022,MAINTAIN OR REPAIR HYDRO ELEVA,,PROVIDE MAINTENANCE CONTROL PROGRAM.,"Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13641453,PASSED,N,PERIODIC,ELEVATOR,1513 N WELLS ST,1513,N,WELLS,ST,4337,48.0,41.909588688,-87.634513776,"(41.90958868756235, -87.63451377570092)",2022,01,03
6727717,06/27/2022,01/03/2022,EV1111,COMPLIED,06/27/2022,MAINTAIN OR REPAIR HYDRO ELEVA,,PROVIDE UPTO DATE FIRE SERVICE LOGS.,"Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13641453,PASSED,N,PERIODIC,ELEVATOR,1513 N WELLS ST,1513,N,WELLS,ST,4337,48.0,41.909588688,-87.634513776,"(41.90958868756235, -87.63451377570092)",2022,01,03
6727719,06/27/2022,01/03/2022,EV1111,COMPLIED,06/27/2022,MAINTAIN OR REPAIR HYDRO ELEVA,,PROVIDE WORKING PHONE 24 HOUR 7 DAY 2 WAY COMMUNICATION.,"Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13641453,PASSED,N,PERIODIC,ELEVATOR,1513 N WELLS ST,1513,N,WELLS,ST,4337,48.0,41.909588688,-87.634513776,"(41.90958868756235, -87.63451377570092)",2022,01,03
6728019,06/27/2022,01/03/2022,EV1110,COMPLIED,06/27/2022,MAINTAIN OR REPAIR ELECT ELEVA,,REPAIR/REPLACE LOBBY PI TO WORKING ORDER.,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13641647,PASSED,N,PERIODIC,ELEVATOR,1515 N WELLS ST,1515,N,WELLS,ST,4337,48.0,41.909643327,-87.634515611,"(41.909643326522584, -87.63451561127042)",2022,01,03
6728020,06/27/2022,01/03/2022,EV1110,COMPLIED,06/27/2022,MAINTAIN OR REPAIR ELECT ELEVA,,PROVIDE COPY OF MAINTENANCE AGREEMENT WITH LICENED CITY OF CHICAGO ELEVATOR SERVICE PROVIDER.ALL ELEVATORE ON PROPERTY.,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13641647,PASSED,N,PERIODIC,ELEVATOR,1515 N WELLS ST,1515,N,WELLS,ST,4337,48.0,41.909643327,-87.634515611,"(41.909643326522584, -87.63451561127042)",2022,01,03
6728021,06/27/2022,01/03/2022,EV1110,COMPLIED,06/27/2022,MAINTAIN OR REPAIR ELECT ELEVA,,REPAIR/REPLACE ALARM BELLS TO WORK WITH/WITHOUT 110V POWER.ALL ELEVATORS ON PROPERTY.,"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",541663,13641647,PASSED,N,PERIODIC,ELEVATOR,1515 N WELLS ST,1515,N,WELLS,ST,4337,48.0,41.909643327,-87.634515611,"(41.909643326522584, -87.63451561127042)",2022,01,03
